"10/08/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"09/09/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"08/10/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"08/07/2020","500.00","*","","ONLINE TRANSFER FROM NORTH800, LLC REF #IB08MBXGL3 BUSINESS CHECKING DEBIT CARD CHECK"
"07/08/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"06/08/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"05/08/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"04/08/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"03/09/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"02/10/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"02/10/2020","-3.00","*","","DIRECT PAY WF BUSINESS PYMT TRANS"
"01/21/2020","-3500.00","*","","WF Direct Pay-Payment- 823 north roof PIF-Tran ID DP71078239"
"01/21/2020","3500.00","*","","ONLINE TRANSFER FROM NORTH800, LLC REF #IB07HZ3MWJ BUSINESS CHECKING 823 ROOF REPAIR PIF"
"01/09/2020","-10.00","*","","DIRECT PAY MONTHLY BASE"
"01/09/2020","-6.00","*","","DIRECT PAY WF BUSINESS PYMT TRANS"
